sku,product_name,brand,pst,gmv,gv,orders,units,instock,atc,platform_gmv_loss,express_gmv_loss,cvr,asp
Z5B2F40E47E5EB443A0F4Z-1,360° Rotating Spice Rack with 18 Glass Jars – Kitchen Countertop Organizer,generic,spice_jars,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B3360D339AF4D5851E1Z-1,Glasslock MCCB-205 Glass Container 2050ml Round Food Storage Container Airtight BPA Free Microwave Safe,glasslock,food_containers,65.99,12.0,1.0,1.0,100.0,4.0,0.0,0.0,0.08333333333333333,65.99
Z5B38F73B9893108537FAZ-1,"Stor Paw Patrol Boy Funny Lunch Box for Kids – 30oz BPA-Free Reusable Lunch Container with Secure Snap Lid, Lightweight Durable Food Storage Box for School, Travel, Picnics & Everyday Meals",stor,lunch_box,0.0,7.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B39CF51A85C9B8CBD02Z-1,Daiso Clear Storage Bag (25Cm X 15Cm X 18Cm),daiso,space_saver_bag,0.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
Z5B3B7B599441D9DF0D53Z-1,"Foldable Clothes Drying Stand Heavy Duty Metal Garment Rack with Shoe Shelf, Portable Clothing Rack Stand for Bedroom & Laundry, Space-Saving, Clothes Hanger Stand Drying Rack",juni,clothes_rack,0.0,13.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
Z5B3CA6DFBD26CCD574DDZ-1,Stackable Storage Box Transparent Nylon Mesh Steel Frame Shelf Quilt Clothing Blanket pillow Shoe Holder Container Organizer See-through Window double zipper Folding (B66L-2PCS),jcb_chic,storage_box,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B3D454C82D1D405B2DAZ-1,"Hanging Purse Handbag Organizer, Closet Purse Handbag Organizer for Wardrobe Space Saving Closet Organizers System with 10 Compartments Handbag Holder (White)",excefore,hanging_closet_organizer,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B43E64F7412F981D871Z-1,"HOUSE DAY Wooden Pants Hangers with Clips, 25 Pack - Natural Wood Skirt Hangers for Men and Women",house_day,closet_clothes_hanger,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B45CB9371F842F03F4FZ-1,"Twisoo Stainless Steel Lunch Box for Kid School, Insulated Bento Lunch Box with Tableware, 3 Compartment Divided Lunch Containers with Lids, Leakproof | BFA Free | Dishwasher Safe 1300ml (Gray)",twisoo,lunch_box,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B46EABDE51E80443B4BZ-1,B.Box Whole Foods Lunch Box for Kids | Large Leakproof Compartments | 67.6 fl oz Capacity | Whole Fruit Holder | BPA Free | Easy Open Design-Flamingo Fizz,b_box,lunch_box,0.0,1.0,0.0,0.0,56.25,1.0,0.0,0.0,0.0,0.0
Z5B4B60B87D2ED3EE5787Z-1,Pot and Pan Organizer Rack for under Cabinet Adjustable Heavy Duty Metal 4 Tier,gt_wheel,racks,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5B4C50E93BA733F74848Z-1,"2 Tier Storage Shelves, Stable Kitchen Shelf Organizer, Storage Rack with Armrests, Removable Free Standing Rack with Hooks, Multipurpose Rack, Shelving Unit for Laundry Room,Living Room,Garage,Pantry,Study Room",duniso,racks,190.0,72.0,4.0,4.0,100.0,11.0,0.0,0.0,0.05555555555555555,47.5
Z5B4F320617D4151768DFZ-1,"New insulated lunchbox bag/handbag for office workers, lunch bag for students, large capacity insulated bag",generic,lunch_bag,9.0,6.0,1.0,1.0,6.25,2.0,0.0,0.0,0.16666666666666666,9.0
